Name,Suffix,Class,Form,Opcode,XO,Subdec,spr,BO,In,InImpl,Out,OutImpl,Action,Rc,SO,End,AA,LK,Priv,Lock,DE_OP,EXE_OP,MEM_OP,WB_OP,Notes,
,,,,,,,,,,,,,,,,,,,,,,,,,,
add,".,o",Arithmetic,XO,31,266,,,,"RA,RB",,RT,,"ADD_OV(val_RT, val_OV, val_RA, val_RB)",1,1,,,,,,A=RA; B=RB; if (Rc || SO) D=XERCR,R0=alu_add_ab; RC=Rc_SO,R0,RT=R0; if (Rc || SO) XERCR=RC,. means write cr0; o means write XER.OV. This is on top of outimpl.,
addc,".,o",Arithmetic,XO,31,10,,,,"RA,RB",,RT,CA,"ADD_OV_CO(val_RT, val_OV, val_CA, val_RA, val_RB)",1,1,,,,,,A=RA; B=RB; D=XERCR,R0=alu_add_ab; RC=Rc_SO_CA,R0,RT=R0; XERCR=RC,"And these implicitly always write XER.CA, conditionally write XER.SO, CR0",
adde,".,o",Arithmetic,XO,31,138,,,,"RA,RB",CA,RT,CA,"ADD_OV_CO_CI(val_RT, val_OV, val_CA, val_RA, val_RB, val_CA)",1,1,,,,,,A=RA; B=RB; D=XERCR,R0=alu_adc_ab_d; RC=Rc_SO_CA,R0,RT=R0; XERCR=RC,,
addi,,Arithmetic,D,14,,,,,"RA0,SI",,RT,,val_RT = val_RA0 + SI,0,0,,,,,,A=RA0; B=SI,R0=alu_add_ab,R0,RT=R0,,
addis,,Arithmetic,D,15,,,,,"RA0,SI",,RT,,val_RT = val_RA0 + ((REG)SI<<16),0,0,,,,,,A=RA0; B=SI_HI,R0=alu_add_ab,R0,RT=R0,,
addic,,Arithmetic,D,12,,,,,"RA,SI",,RT,CA,"ADD_CO(val_RT, val_CA, val_RA, SI)",0,0,,,,,,A=RA; B=SI; D=XERCR,R0=alu_add_ab; RC=CA,R0,RT=R0; XERCR=RC,,
addic_rc,,Arithmetic,D,13,,,,,"RA,SI",,RT,CA,"ADD_CO(val_RT, val_CA, val_RA, SI)",A,0,,,,,,A=RA; B=SI; D=XERCR,R0=alu_add_ab; RC=RcA_CA,R0,RT=R0; XERCR=RC,,
addme,".,o",Arithmetic,XO,31,234,,,,RA,CA,RT,CA,"ADD_OV_CO_CI(val_RT, val_OV, val_CA, val_RA, -1, val_CA)",1,1,,,,,,A=RA; D=XERCR,R0=alu_adc_a_m1_d; RC=Rc_SO_CA,R0,RT=R0; XERCR=RC,,
addze,".,o",Arithmetic,XO,31,202,,,,RA,CA,RT,CA,"ADD_OV_CO(val_RT, val_OV, val_CA, val_RA, val_CA)",1,1,,,,,,A=RA; D=XERCR,R0=alu_adc_a_0_d; RC=Rc_SO_CA,R0,RT=R0; XERCR=RC,,
